author,title
Yakov Nekrich,Decoding of Canonical Huffman Codes with Look-Up Tables.
"S. Sandeep Pradhan, Kannan Ramchandran",Distributed Source Coding: Symmetric Rates and Applications to Sensor Networks.
Sergio D. Servetto,Lattice Quantization with Side Information.
"Jonathan A. Kelner, Vivek K. Goyal, Jelena Kovacevic",Multiple Description Lattice Vector Quantization: Variations and Extensions.
"Rainer Bauer, Joachim Hagenauer",Iterative Source/Channel-Decoding Using Reversible Variable Length Codes.
Mehmet A. Orgun,Towards a Logical Basis for Modelling and Querying Multi-dimensional Databases.
John Plaice,"Multidimensional Lucid: Design, Semantics and Implementation."
"John Plaice, Paul Swoboda, Ammar Alammar",Building Intensional Communities Using Shared Contexts.
"William A. Ward Jr., David Langan",Calculation and Use of Peaking Factors for Remote Terminal Emulation.
"Bruno Tuffin, Kishor S. Trivedi",Implementation of Importance Splitting Techniques in Stochastic Petri Net Package.
Armin Heindl,Decomposition of General Tandem Queueing Networks with MMPP Input.
"Peter Maly, C. Murray Woodside","Layered Modeling of Hardware and Software, with Application to a LAN Extension Router."
"Christophe Hirel, Bruno Tuffin, Kishor S. Trivedi",SPNP: Stochastic Petri Nets. Version 6.0.
"Rosa M. M. Leão, Edmundo de Souza e Silva, Sidney C. de Lucena","A Set of Tools for Traffic Modeling, Analysis and Experimentation."
"Matthew R. Nelson, Sharon L. Kardia, Charles F. Sing",The Combinatorial Partitioning Method.
"Gerth Stølting Brodal, Christian N. S. Pedersen",Finding Maximal Quasiperiodicities in Strings.
Ian H. Witten,Browsing around a Digital Library: Today and Tomorrow.
"Itsik Pe'er, Ron Shamir, Roded Sharan",Incomplete Directed Perfect Phylogeny.
"David Fernández-Baca, Timo Seppäläinen, Giora Slutzki",Parametric Multiple Sequence Alignment and Phylogeny Construction.
"Artur Czumaj, Leszek Gasieniec",On the Complexity of Determining the Period of a String.
Fernando C. N. Pereira,Machine Learning for Efficient Natural-Language Processing.
"Lörinc Antoni, Régis Leveugle, Béla Fehér",Using Run-Time Reconfiguration for Fault Injection in Hardware Prototypes.
"G. C. Cardarilli, A. Salsano, P. Marinucci, M. Ottavi",A Fault-Tolerant 176 Gbit Solid State Mass Memory Architecture.
"Chuang Cheng, Chih-Tsun Huang, Jing-Reng Huang, Cheng-Wen Wu, Chen-Jong Wey, Ming-Chang Tsai",BRAINS: A BIST Compiler for Embedded Memories.
"Shigeru Ohnishi, Michinori Nishihara",A New Light-Based Logic IC Screening Method.
Peter Schuster,Elementary Choiceless Constructive Analysis.
Alberto Momigliano,Elimination of Negation in a Logical Framework.
"Andreas Blass, Yuri Gurevich",Choiceless Polynominal Time Computation and the Zero-One Law.
"Hiroshi Tsukimoto, Mitsuru Kakimoto, Chie Morita, Yoshiaki Kikuchi, Eiko Hatakeyama, Yoshifumi Miyazaki",Knowledge Discovery from fMRI Brain Images by Logical Regression Analysis.
Tsuyoshi Murata,Discovery of Web Communities Based on the Co-Occurence of References.
Hyeoncheol Kim,Computationally Efficient Heuristics for If-Then Rule Extraction from Freed-Forward Neural Networks.
"Masahiro Hirao, Hiromasa Hoshino, Ayumi Shinohara, Masayuki Takeda, Setsuo Arikawa",A Practical Algorithm to Find the Best Subsequence Patterns.
"Rudolf Freund, Franziska Freund",Molecular Computing with Generalized Homogeneous P-Systems.
"Maurice Margenstern, Yurii Rogozhin",About Time-Varying Distributed H Systems.
"John S. McCaskill, Robert Penchovsky, Marlies Gohlke, Jörg Ackermann, Thomas Rücker",Steady Flow Micro-Reactor Module for Pipelined DNA Computations.
Douglas C. Schmidt,Surviving the Tornado: The Best Kept Secrets of R&D Success in the Internet Age.
"Thorsten Kramp, Geoff Coulson",The Design of a Flexible Communications Framework for Next-Generation Middleware.
"Michael Yearworth, Nick Taylor, John Tidmus, Ian Fraser, Peter Still",A CORBA Service for Road Traffic Information on the Internet.
Rushikesh K. Joshi,Modeling with Filter Objects in Distributed Systems.
"Qixiang Sun, Daniel C. Sturman",A Gossip-Based Reliable Multicast for Large-Scale High-Throughput Applications.
"Svend Frølund, Rachid Guerraoui",Implementing e-Transactions with Asynchronous Replication.
"Steven Cheung, Karl N. Levitt",A Formal-Specification Based Approach for Protecting the Domain Name System.
"Roy A. Maxion, Kymie M. C. Tan",Benchmarking Anomaly-Based Detection Systems.
John F. Meyer,Performability of Algorithms for Connection Admission Control.
"Scott Johnson, Farnam Jahanian, Sunondo Ghosh, Brian Vanvoorst, Nicholas Weininger",Experiences with Group Communication Middleware.
Stanislaw Ambroszkiewicz,Semantic Interoperability in Agentspace: An Approach to Concept Meaning.
Marjatta Kangassalo,Explorative Learning in PICCO Environment.
Marko Niinimäki,Intensional and Extensional Languages in Conceptual Modelling.
Klaus-Dieter Schewe,Discussion Session on Concept Theory and Conceptual Modelling.
"Dirk Beyer, Andreas Noack",BDD-basierte Verifikation von Echtzeit-Systemen.
Martin von Löwis,Datentypsematik für SDL - 2000.
"Jae-Ha Lee, Otfried Cheong, Woo-Cheol Kwon, Sung Yong Shin, Kyung-Yong Chwa",Approximation of Curvature-Constrained Shortest Paths through a Sequence of Points.
"Satish Govindarajan, Tamás Lukovszki, Anil Maheshwari, Norbert Zeh",I/O-Efficient Well-Separated Pair Decomposition and Its Applications.
Konstantin Skodinis,Computing Optimal Linear Layouts of Trees in Linear Time.
Christoph Ambühl,Offline List Update is NP-Hard.
"Yunhong Zhou, Subhash Suri",Collision Detection Using Bounding Boxes: Convexity Helps.
"Danny Van Welden, Eugene J. H. Kerckhoffs",Regression tree-based dependency modeling for dynamic systems.
"Lenin Lemus, David de Andrés, Pedro Gil",An alternative to unify performance and reliability analysis of industrial applications.
"Jan Studzinski, Lucyna Bogdan","Computer aided modelling, optimisaton and control of the large municipal water net."
"Alexandre Dolgui, Oleg Zaikin",Queueing network models for a capacity allocation problem.
Emad S. Addasi,Universal mathematical model of motor drives.
Ulrich Klehmet,Logic based extensions of stochastic process algebras for high-level performance modeling and evaluation.
"Agostino G. Bruzzone, Pietro Giribone, Roberto Revetria",Using simulation to re-engineer the supply chain in automotive production.
"M. J. M. Janssen, L. N. Hopkins, B. Peterson, P. A. Vanrolleghem",Reduction of an activated sludge process model to facilitate controller tuning.
John Fogelholm,Anticipated resource consumption modelling i the production process as the basis for simulation activities in paper Mills.
"S. González-Rojo, J. G. Slama, A. Lopes Pereira, Félix Mora-Camino",Fuzzy parameters estimation for car-following modelling.
"Roman Szturc, Ivo Vondrák, Marcel Kruzel",Issuing of error suspicions in evolving process.
"Rik Van Landeghem, A. Beuselinck",Analysis of passenger boarding in airplanes using simulation.
"Michel Gourgand, Alain Tanguy, Nikolay Tchernev",A generic hybrid flow-shop simulation model using SIMULA.
"Wilfried Sihn, Jörg Pirron, Ute Mussbach-Winter",IT-Supported supply chain management - new perspectives.
Alexei V. Sioutine,Investigation of impacts of resources and resource allocation policies on rework iteration in instructional systems development projects.
Geoff Waterworth,Modelling and simulation of water quality control.
"Mohamed El Habib, Zaidi Sahnoun",An approach for integrating explanation in qualitative simulation.
"Hans Vangheluwe, Ghislain C. Vansteenkiste",The cellular automata formalism and its relationship to DEVS.
Eugene A. M. Schenk,Supply chain dynamics with production priority settings.
Artemis G. Hatzigeorgiou,Translation Initiation Site Prediction in Eucariotic MRNAs with High Accuracy.
"Inge Jonassen, Ingvar Eidhammer, Darrell Conklin, William R. Taylor",Structure Motif Discovery and Mining the PDB.
"Helena Krupnova, Gabriele Saucier",FPGA-Based Emulation: Industrial and Custom Prototyping Solutions.
"Winnie W. Cheng, Steven J. E. Wilton, Babak Hamidzadeh",FPGA Implementation of a Prototype WDM On-Line Scheduler.
"Sriram Govindarajan, Ranga Vemuri",Tightly Integrated Design Space Exploration with Spatial and Temporal Partitioning in SPARCS.
"Sameer Wadhwa, Andreas Dandalis",Efficient Self-Reconfigurable Implementations Using On-chip Memory.
"Srini Krishnamoorthy, Sriram Swaminathan, Russell Tessier",Area-Optimized Technology Mapping for Hybrid FPGAs.
"Rafael Gadea Gironés, Vicente Herrero, Angel Sebastia, Antonio Mocholí Salcedo",The Role of the Embedded Memories in the Implementation of Artificial Neural Networks.
"G. Lías, María Dolores Valdés, Miguel A. Domínguez, María José Moure",Implementing a Fieldbus Interface Using an FPGA.
"Rolf Hoffmann, Bernd Ulmann, Klaus-Peter Völkmann, Stefan Waldschmidt",A Stream Processor Architecture Based on the Configurable CEPRA-S.
"Hideharu Amano, Yuichiro Shibata, Masaki Uno",Reconfigurable Systems: New Activities in Asia.
"John S. McCaskill, Patrick Wagler","From Reconfigurability to Evolution in Construction Systems: Spanning the Electronic, Microfluidic and Biomolecular Domains."
"Russell Tessier, Heather Giza",Balancing Logic Utilization and Area Efficiency in FPGAs.
"Simon Kolmanic, Nikola Guid",The Flattening of Arbitrary Surfaces by Approximation with Developable Stripes.
"T. Bonte, A. Galimberti, Caterina Rizzi",A 3D Graphic Environment for Garments Design.
"Lluis Solano, Pere Brunet",Distance Constraint Satisfaction Based on Geometric Relaxation.
"Jonathan Katz, Moti Yung",Unforgeable Encryption and Chosen Ciphertext Secure Modes of Operation.
"Jorge Nakahara Jr., Bart Preneel, Joos Vandewalle",Linear Cryptanalysis of Reduced-Round Versions of the SAFER Block Cipher Family.
"Tetsu Iwata, Kaoru Kurosawa",On the Pseudorandomness of the AES Finalists - RC6 and Serpent.
"Miodrag J. Mihaljevic, Marc P. C. Fossorier, Hideki Imai",A Low-Complexity and High-Performance Algorithm for the Fast Correlation Attack.
"Seokhie Hong, Sangjin Lee, Jongin Lim, Jaechul Sung, Donghyeon Cheon, Inho Cho",Provable Security against Differential and Linear Cryptanalysis for the SPN Structure.
"Alexandre Sorokine, Kurt Ackermann",Scripting in GIS applications: experimental standards-based framework for perl.
"Martin Hope, Tom Chrisp, Nigel Linge",Improving co-operative working in the utility industry through mobile context aware geographic information systems.
"Jean Brodeur, Yvan Bédard, Marie-Josée Proulx",Modelling geospatial application databases using UML-based repositories aligned with international standards in geomatics.
"Suresh K. Lodha, Arvind K. Verma",Spatio-temporal visualization of urban crimes on a GIS grid.
"Ludger Becker, Stefan Hammelbeck, Klaus Hinrichs",Design and implementation of an interoperable GIS-interface for grid data.
"Scott T. Leutenegger, Rostislav M. Sheykhet, Mario A. Lopez",A mechanism to detect changing access patterns and automatically migrate distributed R-tree indexed multidimensional data.
"Pifu Zhang, Caiming Zhang, Fuhua Cheng",Constrained Shape Scaling of Multi-Surface Objects.
"K. M. Yu, W. M. Zhu",Dimension-Driven Parameterized Design of Free Form Objects.
"C. G. Armstrong, R. M. McKeag, H. Ou, M. A. Price",Geometric Processing for Analysis.
"Yutaka Ohtake, Alexander G. Belyaev, Ilia A. Bogaevski",Polyhedral Surface Smoothing with Simultaneous Mesh Regularization.
"Ulf Labsik, Kai Hormann, Günther Greiner",Using Most Isometric Parametrizations for Remeshing Polygonal Surfaces.
"Eng-Wee Chionh, Ming Zhang, Ronald N. Goldman",Implicitization by Dixon A-Resultants.
"Stephen Cameron, Joe Pitt-Francis",Proximity Queries for Modeling and Manufacturing.
"Michael Beynon, Tahsin M. Kurç, Alan Sussman, Joel H. Saltz",Design of a Framework for Data-Intensive Wide-Area Applications.
"Claus Bitten, Jörn Gehring, Uwe Schwiegelshohn, Ramin Yahyapour",The NRW-Metacomputer-Building Blocks for A Worldwide Computational Grid.
Astrid Lubinski,Replizieren und Reduzieren von Daten für ressourcenbegrenzte Umgebungen.
"Wei Cui, Xuemin Shen",User Movement Tendency Prediction and Call Admission Control for Cellular Networks.
"Bassam Hashem, Evelyne Le Strat",On the Balancing of the Base Stations Transmitted Powers During Soft Handoff in Cellular CDMA Systems.
"Paul Boustead, Joe Chicharo",IP Forwarding Alternatives in Cell Switched Optical Networks.
Hanjong Kim,Turbo Coded Orthogonal Frequency Division Multiplexing for Digital Audio Broadcasting.
"Jian-Hao Hu, Kwan Lawrence Yeung, Tao Li",Routing and Re-Routing in a LEO/MEO Two-tier Mobile Satellite Communications System with Inter-Satellite Links.
"Kunjie Wang, Yeheskel Bar-Ness",The Prediction MMSE Receiver for Joint Multiple-Access and Narrow-Band Interference Suppression in DS/CDMA Channels.
"Zhengdao Wang, Georgios B. Giannakis",Block Spreading for MUI/ISI-Resilient Generalized Multi-Carrier CDMA with Multirate Capabilities.
Xiang-Gen Xia,Precoded OFDM Systems Robust to Spectral Null Channels and Vector OFDM Systems with Reduced Cyclic Prefix Length.
"Nor Azhar Mohd Arif, Ryoichi Komiya",3D Videophone for Virtual Reality Telecommunication.
"Ananthanarayanan Chockalingam, K. R. Shankar Kumar, Laurence B. Milstein",Performance of an LMS Type Receiver for Interference Suppression in Long Code DS-CDMA on Rayleigh Fading Channels.
Luiz A. DaSilva,QoS Mapping Along the Protocol Stack: Discussion and Preliminary Results.
"Bo Wang, Tülay Adali",Time-Dmain Equalizer Design for Discrete Multitone Systems.
"Ting-Chao Hou, Chorng-Horng Yang, Yun-Sun Chu, Kim-Joan Chen",Control and Coordination of Interactive Videoconferencing over Hybrid Networks.
"Chris van den Bos, Michiel H. L. Kouwenhoven, Wouter A. Serdijn",The Influence of Non-Linear Distortion on OFDM Bit Error Rate.
"Albert M. Chan, Gregory W. Wornell",A Class of Block-Iterative Equalizers for Intersymbol Interference Channels.
"Tan F. Wong, Tat M. Lok",Spreading Sequence Adaptation in Multicode CDMA Systems.
"Wilson W. S. Wong, Elvino S. Sousa",Hybrid FDD/SDD-WCDMA System Architecture: Joint Power Control and Space Diversity for Demand Access Channels.
"Daniel Bauer, John N. Daigle, Ilias Iliadis, Paolo Scotton",Efficient Frontier Formulation for Additive and Restrictive Metrics in Hierarchical Routing.
"Christos Komninakis, Christina Fragouli, Ali H. Sayed, Richard D. Wesel",Adaptive Multi-Input Multi-Output Fading Channel Equalization Using Kalman Estimation.
"Guu-Chang Yang, Shang-Yao Lin, Wing C. Kwong",Analysis of Double-Media MFSK/FH-SSMA Wireless Systems.
"Naresh Sharma, Hsuan-Jung Su, Evaggelos Geraniotis",A Novel Approach for Multi-Antenna Systems.
"W. Gugler, A. Springer, R. Weigel",A Robust SAW-Based Chirp-pi/4 DQPSK System for Indoor Applications.
"Dongkyun Kim, Chai-Keong Toh, Yanghee Choi",TCP-Bus: Improving TCP Performance in Wireless Ad-Hoc Networks.
"José M. Lago, Fernando Pérez-González",Analytical Bounds on the Error Performance of the DVB-T System in Time-Invariant Channels.
"Iordanis Koutsopoulos, Dennis Connors, Andreas Savvides, Son K. Dao",Intra-Team Multi-Hop Broadcasting (ITMB): A MAC Layer Protocol for Efficient Control Signaling in Wireless Ad-Hoc Networks.
"Ahmad Alkhatib, Marwan Krunz",Application of Chaos Theory to the Modeling of Compressed Video.
"Juha Laine, Sampo Saaristo, Jussi Lemponen, Jarmo Harju",Implementation and Measurements of Simple Integrated Media Access (SIMA) Network Nodes.
"Nicola Blefari-Melazzi, Gianluca Reali",Improving the Efficiency of Circuit-Switched Satellite Networks by means of Dynamic Bandwidth Allocation Capabilities.
"Wojciech Kabacinski, Grzegorz Danilewicz",Wide-Sense Non-Blocking Multi-Log
"Hikmet Sari, Frederik Vanhaverbeke, Marc Moeneclaey",Combined TDMA/OCDMA with Iterative Multistage Detection.
"Yantai Shu, Zhigang Jin, Jidong Wang, Oliver W. W. Yang",Prediction-Based Admission Control Using FARIMA Models.
"Marius Pirvu, Laxmi N. Bhuyan",Hardware spatial forwarding for widely shared data.
"Nikolay Mateev, Keshav Pingali, Paul Stodghill, Vladimir Kotlyar",Next-generation generic programming and its application to sparse matrix computations.
"Tao Li, Lizy Kurian John, Narayanan Vijaykrishnan, Anand Sivasubramaniam, Jyotsna Sabarinathan, Anupama Murthy",Using complete system simulation to characterize SPECjvm98 benchmarks.
"Thomas Arts, Thomas Noll",Verifying Generic Erlang Client-Server Implementations.
"Frank Huch, Ulrich Norbisrath",Distributed Programming in Haskell with Ports.
Kevin Hammond,The Dynamic Properties of Hume: A Functionally-Based Concurrent Language with Bounded Time and Space Behaviour.
